NAME,FLIT.girl,FLIT.boy,FLIT
Sweden,NA,NA,NA
Swaziland,NA,NA,NA
Sint Maarten,NA,NA,NA
Seychelles,NA,NA,NA
Syria,NA,NA,NA
Turks and Caicos Is.,NA,NA,NA
Chad,NA,NA,NA
Togo,NA,NA,NA
Thailand,NA,NA,NA
Tajikistan,NA,NA,NA
Turkmenistan,NA,NA,NA
East Timor,NA,NA,NA
Tonga,NA,NA,NA
Trinidad and Tobago,NA,NA,NA
Tunisia,NA,NA,NA
Turkey,NA,NA,NA
Tuvalu,NA,NA,NA
Taiwan,NA,NA,NA
Tanzania,NA,NA,NA
Uganda,NA,NA,NA
Ukraine,NA,NA,NA
U.S. Minor Outlying Is.,NA,NA,NA
Uruguay,NA,NA,NA
United States,498,503,501
Guantanamo Bay USNB,NA,NA,NA
Uzbekistan,NA,NA,NA
Vatican,NA,NA,NA
St. Vin. and Gren.,NA,NA,NA
Venezuela,NA,NA,NA
British Virgin Is.,NA,NA,NA
U.S. Virgin Is.,NA,NA,NA
Vietnam,NA,NA,NA
Vanuatu,NA,NA,NA
West Bank,NA,NA,NA
Wallis and Futuna,NA,NA,NA
Akrotiri,NA,NA,NA
Samoa,NA,NA,NA
Yemen,NA,NA,NA
South Africa,NA,NA,NA
Zambia,NA,NA,NA
Zimbabwe,NA,NA,NA
