BRA	BGR	CAN	CHL	EST	FIN	GEO	IDN	ITA	LVA	LTU	NLD	PER	POL	PRT	RUS	SRB	SVK	ESP	USA
NA	66423	386364.01949	176216.83333	10867	52730	17683	NA	361907	21610	39265	138295	NA	598124	94867	NA	47797	70031	407036	3784640
1097494	63373	402589	191141	10190	53878	20408	948638	374353	17345	33130	141270	NA	557769	88503	NA	50728	66194	443321	3813956
1226212	62718	420829.91	211644	10491	56829	22214	1161196	368533	17021	32205	NA	NA	516675	74757	NA	50501	61054	438616	3855101
1251238	60383	420552.26799	225029	10262	56066	22711	1220157	373775	15796	29683	NA	238241	487640	73086	NA	50326	NA	438661	3903542
1284426	56851	NA	235705	9577	56136	23825	1269635	NA	14587	27684	155504	241141	517305	77034	NA	51596	50622	445559	NA
NA	NA	NA	NA	NA	NA	26665	1245166	NA	NA	NA	NA	NA	NA	NA	NA	45406	NA	NA	NA

