BRA	BGR	CAN	CHL	EST	FIN	GEO	IDN	ITA	LVA	LTU	NLD	PER	POL	PRT	RUS	SRB	SVK	ESP	USA
39.22	45	80.3	41.56	72.5	82.49	20.07	6.92	48.83	66.84	59.76	89.63	31.4	58.97	48.27	29	38.1	70	62.4	71
40.65	46.23	80.3	45	74.1	86.89	26.9	10.92	53.68	68.42	62.12	90.72	34.77	62.32	53.3	43	40.9	75.71	65.8	71.69
45.69	47.9799930506026	83	52.2496072877744	76.5	88.70999491353	31.52	12.28	54.3899983018814	69.7499545592245	63.6399774002179	91.4199957622284	36.01	61.94999896898	55.2499968797194	49	42.2	74.4399971746757	67.0899993926581	69.7294607619268
48.56	51.8999876658503	83	55.05	78.3899259259259	89.879997974222	36.94	14.52	55.829997993283	73.1199437663748	67.2299893276414	92.859992359525	38.2	62.3099972714691	60.3399974868057	63.8	48.1	76.7099901181121	69.8099999420024	74.7
51.04	53.0615	85.8	58	80.0043	91.5144	43.3	14.94	58.4593	75.2344	68.4529	93.9564	39.2	62.8492	62.0956	67.97	53.450364175	77.8826	71.635	71.4
54.5510018796392	55.49	87.12	61.11	84.2415280294352	86.5303927529377	44	17.14	55.6384602242293	75.83	72.13	91.666666	40.2	66.6	64.59	70.52	62.0750804639377	79.98	76.19	73
58.3279517340924	56.6563	90	76.63	88.4097035040431	86.4221333325445	47.5697596438736	21.9760677113476	58.1417349568747	79.2006	71.378	91.7241379310345	40.8526009090468	67.997	68.6329	70.1	65.3170254003801	77.6347	78.6896	74.5542024462761
60.87254007	59.82554766	91.16	83.55858602	87.24023275	87.70364996	58.4592896118725	25.4473537	61.32425277	79.84209778	74.37664556	90.4109589	45.46174069	73.3007041	70.42356709	73.09143462	67.05684137	80.47585728	80.56133294	85.5444212887222
67.47128452	63.41010138	91	82.32748693	88.10245687	87.46892907	59.7055045962571	32.2924418958799	63.077347	80.114077	77.61525651	93.19727891	48.72763146	75.98536595	73.79121395	76.00813853	70.33083553	81.62566752	84.6022428	87.2661128245915
70.4342825404361	64.78201069118	NA	NA	89.3570077747426	88.8899599985585	62.7179081736957	39.9046386462913	74.3871829234822	83.5771748630956	79.7225827680518	94.7120737217303	52.5403101713654	77.5417345350006	74.6609681128324	80.8647214200397	73.360709154564	80.660335563768	86.1072355256591	NA

