BRA	BGR	CAN	CHL	EST	FIN	GEO	IDN	ITA	LVA	LTU	NLD	PER	POL	PRT	RUS	SRB	SVK	ESP	USA
NA	1202	7059	593	233	1899	406	3576	10687	315	441	4321	NA	3719	4155	NA	750	2119	10504	65051
16745	1363	7190	605.83333	213	2013	450	3591	10678	264	411	4528	NA	3376	4008	NA	741	2182	10889	67449
18625	1442	7545.68	669.5	208	2000	349	3746	10485	255	417	NA	NA	3787	2351	NA	1089	1914	11316	68923
20605	1464	7767.98	698.5	239	2009	369	4489	9803	197	324	NA	3495	3764	2344	NA	1066	NA	14694	69525
21609	1423	NA	696.66667	253	1853	469	4811	NA	151	329	4747	NA	3196	2135	NA	1539	1660	20049	NA
NA	NA	NA	NA	NA	NA	427	5098	NA	NA	NA	NA	NA	NA	NA	NA	952	NA	NA	NA

