Country,2018
Brazil,7.8
Bulgaria,11.8
Canada,13.3
Chile,10.4
Estonia,13
Finland,12.4
Georgia,12.8
Indonesia,8
Italy,10.2
Latvia,12.8
Lithuania,13
Netherlands,12.2
Peru,9.2
Poland,12.3
Portugal,9.2
Russian Federation,12
Serbia,11.2
Slovakia,12.6
Spain,9.8
United States,13.4
