BRA	BGR	CAN	CHL	EST	FIN	GEO	IDN	ITA	LVA	LTU	NLD	PER	POL	PRT	RUS	SRB	SVK	ESP	USA
8.56018	3.68213	71.1635	16.7218	8.00599	25.9729	2.07072	3.50754	35.7668	2.50111	2.56361	66.7335	4.20504	9.32679	29.2366	1.62733	3.47981	9.69355	23.8833	32.3956
9.53569	3.78022	73.0115	18.6252	7.92703	28.188	2.40845	3.82556	37.4214	2.53209	2.59248	71.5682	4.37469	9.9946	30.9706	1.64322	3.68761	9.97443	24.8536	31.6896
9.58169	4.01379	77.7641	17.779	7.66827	30.2458	1.99822	3.94547	39.962	2.32811	2.46058	67.4636	5.15756	10.1147	31.0762	1.77558	3.58633	9.82129	26.8239	31.2105
10.392	4.22768	69.1767	18.4559	7.73939	32.0767	1.68673	4.35953	43.355	2.44345	2.79859	76.3324	5.80143	10.3829	31.8069	1.95379	4.03552	10.0686	29.0914	31.3991
11.78	4.30509	75.7895	18.9871	8.13586	33.5262	1.63865	4.11608	46.1684	2.64671	3.0549	70.5976	6.45182	10.0142	30.0123	1.95224	4.44801	8.74645	27.9524	30.3889
13.3552	4.20178	77.77	21.9013	8.37753	33.8538	1.59866	4.42169	47.9504	2.4055	4.5368	70.5992	6.4242	9.94785	27.5998	2.19679	4.76858	9.52098	27.9987	30.8163
14.6927	8.66104	NA	23.3338	7.54859	32.3828	1.52999	NA	NA	2.6106	4.52988	64.989	6.46531	NA	27.6535	2.44314	4.90076	9.31572	27.2599	NA

