BRA	BGR	CAN	CHL	EST	FIN	GEO	IDN	ITA	LVA	LTU	NLD	PER	POL	PRT	RUS	SRB	SVK	ESP	USA
NA	26918	46746	25151.33333	3112	17141	3481	NA	148534	4180	9014	40270	NA	198956	39204	NA	26093	34233	165403	869173
50229	26454	48102	27055.16667	3064	17547	3317	NA	154731	4386	8673	41936	NA	189872	36873	NA	28203	32268	151370	870445
55129	27118	55756.62	27403.83333	3459	17831	3892	78575	154277	4441	8543	43978	NA	177973	24912	NA	27313	30592	131253	873763
59673	25606	58815.86	33288	3338	17906	4233	88718	157540	4121	7934	44889	28852	166754	24022	NA	12685	NA	129787	899530
61672	24327	NA	37891.6	3268	17808	5623	94414	NA	4160	7630	45931	NA	186785	24406	NA	12364	25887	131123	NA
NA	NA	NA	NA	NA	NA	5983	91665	NA	NA	NA	NA	NA	NA	NA	NA	11796	NA	NA	NA

