
CNT	GDP_per_capita
BRA	14940.6726059252
BGR	22601.4034869416
CAN	50077.796236328
CHL	24765.2345896396
EST	36358.0277629012
FIN	49373.1839591315
GEO	14593.504870131
IDN	11639.8650613917
ITA	42816.2029669895
LVA	30644.6082903444
LTU	35831.8628150858
NLD	57565.197555795
PER	13084.0010333884
POL	31834.4090985051
PRT	34340.7133450667
RUS	28763.5166314767
SRB	17563.1653653277
SVK	32574.8231445651
ESP	40482.5890103223
USA	62840.0202387957

