Source	Var_name
QQQ_student	ST188Q06HA
QQQ_student	ST188Q07HA
QQQ_student	ST034Q01TA
QQQ_student	ST034Q02TA
QQQ_student	ST034Q03TA
QQQ_student	ST034Q04TA
QQQ_student	ST034Q05TA
QQQ_student	ST034Q06TA
QQQ_student	ST196Q02HA
QQQ_student	ST196Q03HA
QQQ_student	ST196Q04HA
QQQ_student	ST196Q05HA
QQQ_student	ST196Q06HA
QQQ_student	ST196Q07HA
QQQ_student	ST197Q01HA
QQQ_student	ST197Q02HA
QQQ_student	ST197Q04HA
QQQ_student	ST197Q07HA
QQQ_student	ST197Q08HA
QQQ_student	ST197Q09HA
QQQ_student	ST197Q12HA
QQQ_student	ST215Q01HA
QQQ_student	ST215Q02HA
QQQ_student	ST215Q03HA
QQQ_student	ST215Q04HA
QQQ_student	ST215Q05HA
QQQ_student	ST216Q01HA
QQQ_student	ST216Q02HA
QQQ_student	ST216Q03HA
QQQ_student	ST216Q04HA
QQQ_student	ST216Q05HA
QQQ_student	ST216Q06HA
QQQ_student	ST218Q01HA
QQQ_student	ST218Q02HA
QQQ_student	ST218Q03HA
QQQ_student	ST218Q04HA
QQQ_student	ST218Q05HA
QQQ_student	ST218Q06HA
QQQ_student	ST218Q07HA
QQQ_student	ST222Q01HA
QQQ_student	ST222Q03HA
QQQ_student	ST222Q04HA
QQQ_student	ST222Q05HA
QQQ_student	ST222Q06HA
QQQ_student	ST222Q08HA
QQQ_student	ST222Q09HA
QQQ_student	ST222Q10HA
QQQ_student	ST214Q01HA
QQQ_student	ST214Q02HA
QQQ_student	ST214Q03HA
QQQ_student	ST214Q06HA
QQQ_student	ST220Q01HA
QQQ_student	ST220Q02HA
QQQ_student	ST220Q03HA
QQQ_student	ST220Q04HA
QQQ_student	ST217Q01HA
QQQ_student	ST217Q02HA
QQQ_student	ST217Q03HA
QQQ_student	ST217Q04HA
QQQ_student	ST217Q05HA
QQQ_student	ST219Q01HA
QQQ_student	ST219Q02HA
QQQ_student	ST219Q03HA
QQQ_student	ST219Q04HA
QQQ_student	ST219Q05HA
QQQ_student	ST219Q06HA
QQQ_student	ST204Q02HA
QQQ_student	ST204Q03HA
QQQ_student	ST204Q04HA
QQQ_student	ST204Q05HA
QQQ_student	ST177Q01HA
QQQ_student	ST177Q02HA
QQQ_student	ST177Q03HA
QQQ_student	ST189Q01HA
QQQ_student	ST221Q01HA
QQQ_student	ST221Q02HA
QQQ_student	ST221Q03HA
QQQ_student	ST221Q04HA
QQQ_student	ST221Q05HA
QQQ_student	ST221Q06HA
QQQ_student	ST221Q07HA
QQQ_student	ST221Q08HA
QQQ_student	ST221Q09HA
QQQ_student	ST221Q11HA
QQQ_student	ST223Q02HA
QQQ_student	ST223Q04HA
QQQ_student	ST223Q05HA
QQQ_student	ST223Q08HA
QQQ_student	ST123Q02NA
QQQ_student	ST123Q03NA
QQQ_student	ST123Q04NA
QQQ_student	ST205Q01HA
QQQ_student	ST205Q02HA
QQQ_student	ST205Q03HA
QQQ_student	ST205Q04HA
QQQ_student	ST059Q01TA
QQQ_student	ST059Q02TA
QQQ_student	ST059Q03TA
QQQ_student	ST059Q04HA
QQQ_student	ST060Q01NA
QQQ_student	ST061Q01NA
QQQ_student	ST062Q01TA
QQQ_student	ST062Q02TA
QQQ_student	ST062Q03TA
QQQ_student	ST038Q03NA
QQQ_student	ST038Q04NA
QQQ_student	ST038Q05NA
QQQ_student	ST038Q06NA
QQQ_student	ST038Q07NA
QQQ_student	ST038Q08NA
QQQ_student	ST207Q01HA
QQQ_student	ST207Q02HA
QQQ_student	ST207Q03HA
QQQ_student	ST207Q04HA
QQQ_student	ST207Q05HA
QQQ_student	ST206Q01HA
QQQ_student	ST206Q02HA
QQQ_student	ST206Q03HA
QQQ_student	ST206Q04HA
QQQ_student	IC001Q01TA
QQQ_student	IC001Q02TA
QQQ_student	IC001Q03TA
QQQ_student	IC001Q04TA
QQQ_student	IC001Q05TA
QQQ_student	IC001Q06TA
QQQ_student	IC001Q07TA
QQQ_student	IC001Q08TA
QQQ_student	IC001Q09TA
QQQ_student	IC001Q10TA
QQQ_student	IC001Q11TA
QQQ_student	IC009Q01TA
QQQ_student	IC009Q02TA
QQQ_student	IC009Q03TA
QQQ_student	IC009Q05NA
QQQ_student	IC009Q06NA
QQQ_student	IC009Q07NA
QQQ_student	IC009Q08TA
QQQ_student	IC009Q09TA
QQQ_student	IC009Q10NA
QQQ_student	IC009Q11NA
QQQ_student	IC002Q01HA
QQQ_student	IC004Q01HA
QQQ_student	IC005Q01TA
QQQ_student	IC006Q01TA
QQQ_student	IC007Q01TA
QQQ_student	IC150Q01HA
QQQ_student	IC150Q02HA
QQQ_student	IC150Q03HA
QQQ_student	IC150Q04HA
QQQ_student	IC150Q05HA
QQQ_student	IC150Q06HA
QQQ_student	IC150Q07HA
QQQ_student	IC150Q08HA
QQQ_student	IC150Q09HA
QQQ_student	IC151Q01HA
QQQ_student	IC151Q02HA
QQQ_student	IC151Q03HA
QQQ_student	IC151Q04HA
QQQ_student	IC151Q05HA
QQQ_student	IC151Q06HA
QQQ_student	IC151Q07HA
QQQ_student	IC151Q08HA
QQQ_student	IC151Q09HA
QQQ_student	IC152Q01HA
QQQ_student	IC152Q02HA
QQQ_student	IC152Q03HA
QQQ_student	IC152Q04HA
QQQ_student	IC152Q05HA
QQQ_student	IC152Q06HA
QQQ_student	IC152Q07HA
QQQ_student	IC152Q08HA
QQQ_student	IC152Q09HA
QQQ_student	IC008Q01TA
QQQ_student	IC008Q02TA
QQQ_student	IC008Q03TA
QQQ_student	IC008Q04TA
QQQ_student	IC008Q05TA
QQQ_student	IC008Q07NA
QQQ_student	IC008Q08TA
QQQ_student	IC008Q09TA
QQQ_student	IC008Q10TA
QQQ_student	IC008Q11TA
QQQ_student	IC008Q12TA
QQQ_student	IC008Q13NA
QQQ_student	IC010Q01TA
QQQ_student	IC010Q02NA
QQQ_student	IC010Q03TA
QQQ_student	IC010Q04TA
QQQ_student	IC010Q05NA
QQQ_student	IC010Q06NA
QQQ_student	IC010Q07TA
QQQ_student	IC010Q08TA
QQQ_student	IC010Q09NA
QQQ_student	IC010Q10NA
QQQ_student	IC010Q11HA
QQQ_student	IC010Q12HA
QQQ_student	IC011Q01TA
QQQ_student	IC011Q02TA
QQQ_student	IC011Q03TA
QQQ_student	IC011Q04TA
QQQ_student	IC011Q05TA
QQQ_student	IC011Q06TA
QQQ_student	IC011Q07TA
QQQ_student	IC011Q08TA
QQQ_student	IC011Q09TA
QQQ_student	IC011Q10HA
QQQ_student	IC013Q01NA
QQQ_student	IC013Q04NA
QQQ_student	IC013Q05NA
QQQ_student	IC013Q11NA
QQQ_student	IC013Q12NA
QQQ_student	IC013Q13NA
QQQ_student	IC014Q03NA
QQQ_student	IC014Q04NA
QQQ_student	IC014Q06NA
QQQ_student	IC014Q08NA
QQQ_student	IC014Q09NA
QQQ_student	IC015Q02NA
QQQ_student	IC015Q03NA
QQQ_student	IC015Q05NA
QQQ_student	IC015Q07NA
QQQ_student	IC015Q09NA
QQQ_student	IC016Q01NA
QQQ_student	IC016Q02NA
QQQ_student	IC016Q04NA
QQQ_student	IC016Q05NA
QQQ_student	IC016Q07NA
QQQ_student	IC169Q01HA
QQQ_student	EC031Q01TA
QQQ_student	EC032Q01TA
QQQ_student	EC033Q01NA
QQQ_student	EC150Q01WA
QQQ_student	EC150Q02WA
QQQ_student	EC150Q03WA
QQQ_student	EC150Q04WA
QQQ_student	EC150Q05WA
QQQ_student	EC150Q06WA
QQQ_student	EC150Q07WA
QQQ_student	EC150Q08WA
QQQ_student	EC150Q09WA
QQQ_student	EC150Q10WA
QQQ_student	EC151Q01WA
QQQ_student	EC151Q01WB
QQQ_student	EC151Q01WC
QQQ_student	EC151Q02WA
QQQ_student	EC151Q02WB
QQQ_student	EC151Q02WC
QQQ_student	EC151Q03WA
QQQ_student	EC151Q03WB
QQQ_student	EC151Q03WC
QQQ_student	EC151Q04WA
QQQ_student	EC151Q04WB
QQQ_student	EC151Q04WC
QQQ_student	EC151Q05WA
QQQ_student	EC151Q05WB
QQQ_student	EC151Q05WC
QQQ_student	EC152Q01HA
QQQ_student	EC153Q01HA
QQQ_student	EC153Q02HA
QQQ_student	EC153Q03HA
QQQ_student	EC153Q04HA
QQQ_student	EC153Q05HA
QQQ_student	EC153Q06HA
QQQ_student	EC153Q07HA
QQQ_student	EC153Q08HA
QQQ_student	EC153Q09HA
QQQ_student	EC153Q10HA
QQQ_student	EC153Q11HA
QQQ_student	EC160Q01HA
QQQ_student	EC158Q01HA
QQQ_student	EC158Q02HA
QQQ_student	EC159Q01HA
QQQ_student	EC159Q02HA
QQQ_student	EC163Q01HA
QQQ_student	EC163Q02HA
QQQ_student	EC163Q03HA
QQQ_student	EC163Q04HA
QQQ_student	EC163Q05HA
QQQ_student	EC163Q06HA
QQQ_student	EC163Q07HA
